회사명,회계년도,거래소코드
소리바다,2012,053110
소리바다,2016,053110
소리바다,2019,053110
소프트센,2011,032680
소프트센,2013,032680
소프트캠프,2017,258790
소프트캠프,2019,258790
솔고바이오,2012,043100
솔고바이오,2019,043100
솔루에타 IR,2014,154040
솔루에타 IR,2017,154040
쇼박스,2011,086980
쇼박스,2017,086980
수산아이앤티,2018,050960
수젠텍,2018,253840
슈프리마에이치큐,2015,94840
스카이이앤엠,2014,131100
스카이이앤엠,2016,131100
스카이이앤엠,2017,131100
스카이이앤엠,2018,131100
스카이이앤엠,2019,131100
스킨앤스킨,2015,159910
스킨앤스킨,2016,159910
스킨앤스킨,2018,159910
스킨앤스킨,2019,159910
시너지이노베이션 IR,2015,048870
시너지이노베이션 IR,2016,048870
시너지이노베이션 IR,2018,048870
시노펙스,2011,025320
시노펙스,2019,025320
시큐브,2017,131090
시티랩스,2011,139050
시티랩스,2012,139050
시티랩스,2017,139050
시티랩스,2019,139050
신라섬유,2011,001000
신라섬유,2014,001000
신라섬유,2015,001000
신라섬유,2016,001000
신라에스지,2011,025870
신성델타테크,2011,065350
신원종합개발,2013,017000
신원종합개발,2015,017000
신일제약,2019,012790
신진에스엠,2012,138070
심텍홀딩스,2015,036710
싸이맥스 IR,2017,160980
쌍용정보통신,2018,010280
쎄니트,2012,037760
쎄니트,2013,037760
쎄트렉아이,2019,099320
쏠리드,2011,050890
쏠리드,2016,050890
쏠리드,2017,050890
씨씨에스,2018,066790
씨아이에스,2016,222080
씨앤지하이테크,2018,264660
씨엔플러스,2014,115530
씨엔플러스,2016,115530
씨엔플러스,2017,115530
씨엔플러스,2018,115530
씨엔플러스,2019,115530
씨유메디칼,2016,115480
씨젠,2012,096530
씨젠,2014,096530
씨케이에이치,2017,900120
씨큐브,2019,101240
씨티씨바이오,2011,060590
아난티,2018,025980
아난티,2019,025980
아리온,2013,058220
아리온,2016,058220
아리온,2017,058220
아리온,2019,058220
아미노로직스,2011,074430
아미노로직스,2013,074430
아미노로직스,2019,074430
아미코젠,2014,092040
아미코젠,2018,092040
아바코,2012,083930
아스트,2016,067390
아스트,2018,067390
아시아경제,2016,127710
아우딘퓨쳐스,2017,227610
아이디스,2013,143160
아이디스,2017,143160
아이디스홀딩스,2011,054800
아이디스홀딩스,2012,054800
아이디스홀딩스,2017,054800
아이센스,2015,099190
아이쓰리시스템,2017,214430
아이씨디,2012,040910
아이씨케이,2017,068940
아이앤씨,2013,052860
아이앤씨,2016,052860
아이에이,2012,038880
아이에이,2013,038880
아이에이,2014,038880
아이에이,2019,038880
아이엘사이언스,2019,307180
아이엠,2014,101390
아이오케이,2011,078860
아이오케이,2013,078860
아이오케이,2014,078860
아이오케이,2015,078860
